,Id,Title,Genres
0,862,Toy Story,Animation
0,862,Toy Story,Comedy
0,862,Toy Story,Family
1,8844,Jumanji,Adventure
1,8844,Jumanji,Fantasy
1,8844,Jumanji,Family
2,15602,Grumpier Old Men,Romance
2,15602,Grumpier Old Men,Comedy
3,31357,Waiting to Exhale,Comedy
3,31357,Waiting to Exhale,Drama
3,31357,Waiting to Exhale,Romance
4,11862,Father of the Bride Part II,Comedy
5,949,Heat,Action
5,949,Heat,Crime
5,949,Heat,Drama
5,949,Heat,Thriller
6,11860,Sabrina,Comedy
6,11860,Sabrina,Romance
7,45325,Tom and Huck,Action
7,45325,Tom and Huck,Adventure
7,45325,Tom and Huck,Drama
7,45325,Tom and Huck,Family
8,9091,Sudden Death,Action
8,9091,Sudden Death,Adventure
8,9091,Sudden Death,Thriller
9,710,GoldenEye,Adventure
9,710,GoldenEye,Action
9,710,GoldenEye,Thriller
10,9087,The American President,Comedy
10,9087,The American President,Drama
10,9087,The American President,Romance
11,12110,Dracula: Dead and Loving It,Comedy
11,12110,Dracula: Dead and Loving It,Horror
12,21032,Balto,Family
12,21032,Balto,Animation
12,21032,Balto,Adventure
13,10858,Nixon,History
13,10858,Nixon,Drama
14,1408,Cutthroat Island,Action
14,1408,Cutthroat Island,Adventure
15,524,Casino,Drama
15,524,Casino,Crime
16,4584,Sense and Sensibility,Drama
16,4584,Sense and Sensibility,Romance
17,5,Four Rooms,Crime
17,5,Four Rooms,Comedy
18,9273,Ace Ventura: When Nature Calls,Crime
18,9273,Ace Ventura: When Nature Calls,Comedy
18,9273,Ace Ventura: When Nature Calls,Adventure
19,11517,Money Train,Action
19,11517,Money Train,Comedy
19,11517,Money Train,Crime
20,8012,Get Shorty,Comedy
20,8012,Get Shorty,Thriller
20,8012,Get Shorty,Crime
21,1710,Copycat,Drama
21,1710,Copycat,Thriller
22,9691,Assassins,Action
22,9691,Assassins,Adventure
22,9691,Assassins,Crime
22,9691,Assassins,Thriller
23,12665,Powder,Drama
23,12665,Powder,Fantasy
23,12665,Powder,Thriller
24,451,Leaving Las Vegas,Drama
24,451,Leaving Las Vegas,Romance
25,16420,Othello,Drama
26,9263,Now and Then,Comedy
26,9263,Now and Then,Drama
26,9263,Now and Then,Family
27,17015,Persuasion,Drama
27,17015,Persuasion,Romance
28,902,The City of Lost Children,Fantasy
28,902,The City of Lost Children,Adventure
29,37557,Shanghai Triad,Drama
29,37557,Shanghai Triad,Crime
30,9909,Dangerous Minds,Drama
30,9909,Dangerous Minds,Crime
31,63,Twelve Monkeys,Thriller
31,63,Twelve Monkeys,Mystery
32,78802,Wings of Courage,Romance
32,78802,Wings of Courage,Adventure
33,9598,Babe,Fantasy
33,9598,Babe,Drama
33,9598,Babe,Comedy
33,9598,Babe,Family
34,47018,Carrington,History
34,47018,Carrington,Drama
34,47018,Carrington,Romance
35,687,Dead Man Walking,Drama
36,139405,Across the Sea of Time,Adventure
36,139405,Across the Sea of Time,History
36,139405,Across the Sea of Time,Drama
36,139405,Across the Sea of Time,Family
37,33689,It Takes Two,Comedy
37,33689,It Takes Two,Family
37,33689,It Takes Two,Romance
38,9603,Clueless,Comedy
38,9603,Clueless,Drama
38,9603,Clueless,Romance
39,34615,"Cry, the Beloved Country",Drama
40,31174,Richard III,Drama
40,31174,Richard III,War
41,11443,Dead Presidents,Action
41,11443,Dead Presidents,Crime
41,11443,Dead Presidents,Drama
41,11443,Dead Presidents,History
42,35196,Restoration,Drama
42,35196,Restoration,Romance
43,9312,Mortal Kombat,Action
43,9312,Mortal Kombat,Fantasy
44,577,To Die For,Fantasy
44,577,To Die For,Drama
44,577,To Die For,Comedy
44,577,To Die For,Thriller
45,11861,How To Make An American Quilt,Drama
45,11861,How To Make An American Quilt,Romance
46,807,Se7en,Crime
46,807,Se7en,Mystery
46,807,Se7en,Thriller
47,10530,Pocahontas,Adventure
47,10530,Pocahontas,Animation
47,10530,Pocahontas,Drama
47,10530,Pocahontas,Family
48,8391,When Night Is Falling,Drama
48,8391,When Night Is Falling,Romance
49,629,The Usual Suspects,Drama
49,629,The Usual Suspects,Crime
49,629,The Usual Suspects,Thriller
50,117164,Guardian Angel,Action
50,117164,Guardian Angel,Thriller
50,117164,Guardian Angel,Drama
51,11448,Mighty Aphrodite,Comedy
51,11448,Mighty Aphrodite,Romance
52,49133,Lamerica,Drama
52,49133,Lamerica,Foreign
53,26441,The Big Green,Action
53,26441,The Big Green,Adventure
53,26441,The Big Green,Comedy
53,26441,The Big Green,Family
54,97406,Georgia,Drama
55,124057,Kids of the Round Table,
56,9089,Home for the Holidays,Comedy
56,9089,Home for the Holidays,Drama
56,9089,Home for the Holidays,Romance
57,11010,The Postman,Comedy
57,11010,The Postman,Drama
57,11010,The Postman,Romance
58,99040,The Confessional,Thriller
58,99040,The Confessional,Drama
58,99040,The Confessional,Mystery
59,11359,The Indian in the Cupboard,Adventure
59,11359,The Indian in the Cupboard,Family
59,11359,The Indian in the Cupboard,Fantasy
60,17182,Eye for an Eye,Drama
60,17182,Eye for an Eye,Thriller
61,2054,Mr. Holland's Opus,Music
61,2054,Mr. Holland's Opus,Drama
61,2054,Mr. Holland's Opus,Family
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
63,19760,Two If by Sea,Comedy
63,19760,Two If by Sea,Romance
64,9536,Bio-Dome,Comedy
65,11525,Lawnmower Man 2: Beyond Cyberspace,Action
66,40628,Two Bits,Drama
66,40628,Two Bits,Family
67,4482,French Twist,Comedy
67,4482,French Twist,Romance
68,10634,Friday,Comedy
69,755,From Dusk Till Dawn,Horror
69,755,From Dusk Till Dawn,Action
69,755,From Dusk Till Dawn,Thriller
69,755,From Dusk Till Dawn,Crime
70,11859,Fair Game,Action
70,11859,Fair Game,Thriller
70,11859,Fair Game,Romance
71,28387,Kicking and Screaming,Comedy
71,28387,Kicking and Screaming,Drama
71,28387,Kicking and Screaming,Romance
72,48750,Les Miserables,Drama
72,48750,Les Miserables,History
73,20927,Bed of Roses,Drama
73,20927,Bed of Roses,Romance
74,36929,Big Bully,Comedy
74,36929,Big Bully,Family
75,9102,Screamers,Horror
76,124626,Nico Icon,Documentary
77,27526,The Crossing Guard,Drama
77,27526,The Crossing Guard,Thriller
78,9623,The Juror,Drama
78,9623,The Juror,Thriller
79,46785,The White Balloon,Family
79,46785,The White Balloon,Drama
80,400,Things to Do in Denver When You're Dead,Drama
80,400,Things to Do in Denver When You're Dead,Crime
81,880,Antonia's Line,Drama
81,880,Antonia's Line,Comedy
82,146599,Once Upon a Time... When We Were Colored,Romance
82,146599,Once Upon a Time... When We Were Colored,Drama
83,188588,Last Summer in the Hamptons,
84,8447,Angels and Insects,Drama
84,8447,Angels and Insects,Romance
85,10534,White Squall,Action
85,10534,White Squall,Drama
86,17414,Dunston Checks In,Adventure
86,17414,Dunston Checks In,Comedy
86,17414,Dunston Checks In,Family
87,13997,Black Sheep,Comedy
88,2086,Nick of Time,Crime
88,2086,Nick of Time,Drama
88,2086,Nick of Time,Thriller
89,61548,The Journey of August King,Drama
90,9095,Mary Reilly,Drama
90,9095,Mary Reilly,Horror
90,9095,Mary Reilly,Thriller
90,9095,Mary Reilly,Romance
91,12158,Vampire in Brooklyn,Comedy
91,12158,Vampire in Brooklyn,Horror
91,12158,Vampire in Brooklyn,Romance
92,9283,Beautiful Girls,Comedy
92,9283,Beautiful Girls,Drama
92,9283,Beautiful Girls,Romance
93,9208,Broken Arrow,Action
93,9208,Broken Arrow,Adventure
93,9208,Broken Arrow,Drama
93,9208,Broken Arrow,Thriller
94,40154,A Midwinter's Tale,Comedy
95,406,La Haine,Drama
96,45549,Shopping,Action
96,45549,Shopping,Adventure
96,45549,Shopping,Drama
96,45549,Shopping,Thriller
97,63076,Heidi Fleiss: Hollywood Madam,Documentary
98,11062,City Hall,Drama
98,11062,City Hall,Thriller
99,13685,Bottle Rocket,Comedy
99,13685,Bottle Rocket,Crime
99,13685,Bottle Rocket,Drama
100,47475,Mr. Wrong,Comedy
100,47475,Mr. Wrong,Romance
101,2045,Unforgettable,Drama
101,2045,Unforgettable,Mystery
101,2045,Unforgettable,Thriller
102,9614,Happy Gilmore,Comedy
103,688,The Bridges of Madison County,Drama
103,688,The Bridges of Madison County,Romance
104,11907,Nobody Loves Me,Drama
104,11907,Nobody Loves Me,Comedy
104,11907,Nobody Loves Me,Family
105,10874,Muppet Treasure Island,Action
105,10874,Muppet Treasure Island,Comedy
105,10874,Muppet Treasure Island,Music
105,10874,Muppet Treasure Island,Family
105,10874,Muppet Treasure Island,Adventure
106,89333,Catwalk,Documentary
107,96357,Headless Body in Topless Bar,Crime
108,197,Braveheart,Action
108,197,Braveheart,Drama
108,197,Braveheart,History
108,197,Braveheart,War
109,103,Taxi Driver,Crime
109,103,Taxi Driver,Drama
110,33542,Rumble in the Bronx,Crime
110,33542,Rumble in the Bronx,Action
110,33542,Rumble in the Bronx,Comedy
110,33542,Rumble in the Bronx,Thriller
111,43566,Before and After,Drama
111,43566,Before and After,Thriller
112,71754,Margaret's Museum,Drama
113,43612,Happiness Is in the Field,Comedy
114,51352,Anne Frank Remembered,Documentary
114,51352,Anne Frank Remembered,Drama
114,51352,Anne Frank Remembered,Foreign
115,16934,The Young Poisoner's Handbook,Comedy
115,16934,The Young Poisoner's Handbook,Crime
115,16934,The Young Poisoner's Handbook,Drama
116,10324,If Lucy Fell,Comedy
116,10324,If Lucy Fell,Romance
117,78406,Steal Big Steal Little,Comedy
117,78406,Steal Big Steal Little,Drama
118,55731,Race the Sun,Action
118,55731,Race the Sun,Adventure
118,55731,Race the Sun,Comedy
118,55731,Race the Sun,Drama
118,55731,Race the Sun,Family
119,32119,The Boys of St. Vincent,Drama
120,11066,Boomerang,Comedy
120,11066,Boomerang,Romance
121,11104,Chungking Express,Drama
121,11104,Chungking Express,Comedy
121,11104,Chungking Express,Romance
122,37975,The Star Maker,Drama
122,37975,The Star Maker,Romance
123,2074,Flirting with Disaster,Comedy
123,2074,Flirting with Disaster,Romance
124,27793,The Neverending Story III: Escape from Fantasia,Fantasy
125,44284,The Silences of the Palace,Drama
126,290157,Jupiter's Wife,
127,110972,Pie in the Sky,Comedy
127,110972,Pie in the Sky,Romance
128,32622,Angela,Comedy
128,32622,Angela,Drama
129,73067,Frankie Starlight,Drama
129,73067,Frankie Starlight,Romance
129,73067,Frankie Starlight,War
130,11863,Jade,Action
130,11863,Jade,Thriller
130,11863,Jade,Mystery
130,11863,Jade,Romance
131,55475,Nueba Yol,Comedy
131,55475,Nueba Yol,Drama
131,55475,Nueba Yol,Romance
132,124636,Sonic Outlaws,Music
132,124636,Sonic Outlaws,Documentary
133,9101,Down Periscope,Comedy
134,123360,From the Journals of Jean Seberg,Documentary
135,5757,Man of the Year,Comedy
136,39428,The Neon Bible,Drama
137,124639,Target,
138,9302,Up Close & Personal,Drama
138,9302,Up Close & Personal,Romance
139,11000,The Birdcage,Comedy
140,249882,Virgin Mary,Drama
141,16388,The Brothers McMullen,Comedy
141,16388,The Brothers McMullen,Drama
141,16388,The Brothers McMullen,Romance
142,9737,Bad Boys,Action
142,9737,Bad Boys,Comedy
142,9737,Bad Boys,Crime
142,9737,Bad Boys,Thriller
143,30765,The Amazing Panda Adventure,Action
143,30765,The Amazing Panda Adventure,Adventure
143,30765,The Amazing Panda Adventure,Drama
143,30765,The Amazing Panda Adventure,Family
144,10474,The Basketball Diaries,Drama
144,10474,The Basketball Diaries,Crime
145,22279,An Awfully Big Adventure,Romance
145,22279,An Awfully Big Adventure,Drama
145,22279,An Awfully Big Adventure,Comedy
146,30157,Amateur,Crime
146,30157,Amateur,Comedy
146,30157,Amateur,Drama
146,30157,Amateur,Thriller
147,568,Apollo 13,Drama
148,11780,Rob Roy,Adventure
149,34996,The Addiction,Drama
149,34996,The Addiction,Horror
150,414,Batman Forever,Action
150,414,Batman Forever,Crime
150,414,Batman Forever,Fantasy
151,649,Belle de Jour,Drama
151,649,Belle de Jour,Romance
152,1873,Beyond Rangoon,Drama
152,1873,Beyond Rangoon,Thriller
153,5894,Blue in the Face,Comedy
154,1775,Canadian Bacon,Action
154,1775,Canadian Bacon,Comedy
155,8839,Casper,Fantasy
155,8839,Casper,Comedy
155,8839,Casper,Family
156,20649,Clockers,Mystery
156,20649,Clockers,Crime
