,Id,Title,New Key
0,862,Toy Story,jealousy
0,862,Toy Story,toy
0,862,Toy Story,boy
0,862,Toy Story,friendship
0,862,Toy Story,friends
0,862,Toy Story,rivalry
0,862,Toy Story,boy next door
0,862,Toy Story,new toy
1,8844,Jumanji,board game
1,8844,Jumanji,disappearance
1,8844,Jumanji,new home
1,8844,Jumanji,recluse
2,15602,Grumpier Old Men,fishing
2,15602,Grumpier Old Men,best friend
2,15602,Grumpier Old Men,duringcreditsstinger
3,31357,Waiting to Exhale,based on novel
3,31357,Waiting to Exhale,interracial relationship
3,31357,Waiting to Exhale,single mother
3,31357,Waiting to Exhale,divorce
4,11862,Father of the Bride Part II,baby
4,11862,Father of the Bride Part II,midlife crisis
4,11862,Father of the Bride Part II,confidence
4,11862,Father of the Bride Part II,aging
4,11862,Father of the Bride Part II,daughter
4,11862,Father of the Bride Part II,mother daughter relationship
4,11862,Father of the Bride Part II,pregnancy
4,11862,Father of the Bride Part II,contraception
5,949,Heat,robbery
5,949,Heat,detective
5,949,Heat,bank
5,949,Heat,obsession
5,949,Heat,chase
5,949,Heat,shooting
5,949,Heat,thief
5,949,Heat,honor
5,949,Heat,murder
5,949,Heat,suspense
5,949,Heat,heist
5,949,Heat,betrayal
5,949,Heat,money
5,949,Heat,gang
5,949,Heat,cat and mouse
5,949,Heat,criminal mastermind
5,949,Heat,cult film
5,949,Heat,heist movie
5,949,Heat,one last job
5,949,Heat,loner
5,949,Heat,bank job
5,949,Heat,gun fight
6,11860,Sabrina,paris
6,11860,Sabrina,brother brother relationship
6,11860,Sabrina,chauffeur
6,11860,Sabrina,long island
6,11860,Sabrina,fusion
7,45325,Tom and Huck,
8,9091,Sudden Death,terrorist
8,9091,Sudden Death,hostage
8,9091,Sudden Death,explosive
9,710,GoldenEye,cuba
9,710,GoldenEye,falsely accused
9,710,GoldenEye,secret identity
9,710,GoldenEye,computer virus
9,710,GoldenEye,secret base
9,710,GoldenEye,secret intelligence service
9,710,GoldenEye,kgb
9,710,GoldenEye,satellite
9,710,GoldenEye,special car
9,710,GoldenEye,cossack
9,710,GoldenEye,electromagnetic pulse
9,710,GoldenEye,time bomb
9,710,GoldenEye,ejection seat
10,9087,The American President,white house
10,9087,The American President,usa president
10,9087,The American President,new love
10,9087,The American President,widower
11,12110,Dracula: Dead and Loving It,dracula
12,21032,Balto,wolf
12,21032,Balto,alaska
12,21032,Balto,dog
12,21032,Balto,goose
12,21032,Balto,bear attack
12,21032,Balto,dog sled
13,10858,Nixon,usa president
13,10858,Nixon,presidential election
13,10858,Nixon,watergate scandal
13,10858,Nixon,biography
13,10858,Nixon,government
14,1408,Cutthroat Island,exotic island
14,1408,Cutthroat Island,treasure
14,1408,Cutthroat Island,map
14,1408,Cutthroat Island,ship
14,1408,Cutthroat Island,scalp
15,524,Casino,poker
15,524,Casino,drug abuse
15,524,Casino,1970s
15,524,Casino,overdose
16,4584,Sense and Sensibility,bowling
16,4584,Sense and Sensibility,based on novel
16,4584,Sense and Sensibility,servant
16,4584,Sense and Sensibility,country life
16,4584,Sense and Sensibility,jane austen
16,4584,Sense and Sensibility,inheritance
16,4584,Sense and Sensibility,military officer
16,4584,Sense and Sensibility,period drama
16,4584,Sense and Sensibility,rainstorm
16,4584,Sense and Sensibility,horse and carriage
17,5,Four Rooms,hotel
17,5,Four Rooms,witch
17,5,Four Rooms,bet
17,5,Four Rooms,hotel room
17,5,Four Rooms,sperm
17,5,Four Rooms,los angeles
17,5,Four Rooms,hoodlum
17,5,Four Rooms,woman director
18,9273,Ace Ventura: When Nature Calls,africa
18,9273,Ace Ventura: When Nature Calls,indigenous
18,9273,Ace Ventura: When Nature Calls,human animal relationship
19,11517,Money Train,brother brother relationship
19,11517,Money Train,subway
19,11517,Money Train,new york city
19,11517,Money Train,new york subway
20,8012,Get Shorty,gambling
20,8012,Get Shorty,miami
20,8012,Get Shorty,based on novel
20,8012,Get Shorty,job
20,8012,Get Shorty,murder
20,8012,Get Shorty,travel
20,8012,Get Shorty,mafia
20,8012,Get Shorty,money
20,8012,Get Shorty,debt
20,8012,Get Shorty,mobster
20,8012,Get Shorty,business
20,8012,Get Shorty,hollywood
20,8012,Get Shorty,gangster
20,8012,Get Shorty,crime
20,8012,Get Shorty,violence
20,8012,Get Shorty,drug
20,8012,Get Shorty,producer
