,Id,Title,Production Companies
0,862,Toy Story,
1,8844,Jumanji,TriStar Pictures
1,8844,Jumanji,Teitler Film
2,15602,Grumpier Old Men,
3,31357,Waiting to Exhale,
4,11862,Father of the Bride Part II,Sandollar Productions
5,949,Heat,Regency Enterprises
5,949,Heat,Forward Pass
6,11860,Sabrina,Paramount Pictures
6,11860,Sabrina,Scott Rudin Productions
6,11860,Sabrina,Mirage Enterprises
6,11860,Sabrina,Sandollar Productions
6,11860,Sabrina,Constellation Entertainment
6,11860,Sabrina,Worldwe
7,45325,Tom and Huck,
8,9091,Sudden Death,Universal Pictures
8,9091,Sudden Death,Imperial Entertainment
9,710,GoldenEye,United Artists
10,9087,The American President,Columbia Pictures
11,12110,Dracula: Dead and Loving It,Columbia Pictures
11,12110,Dracula: Dead and Loving It,Castle Rock Entertainment
12,21032,Balto,Universal Pictures
12,21032,Balto,Amblin Entertainment
13,10858,Nixon,Hollywood Pictures
14,1408,Cutthroat Island,Laurence Mark Productions
15,524,Casino,Universal Pictures
15,524,Casino,Légende Entreprises
15,524,Casino,Syalis DA
16,4584,Sense and Sensibility,Columbia Pictures Corporation
17,5,Four Rooms,Miramax Films
18,9273,Ace Ventura: When Nature Calls,O Entertainment
19,11517,Money Train,
20,8012,Get Shorty,Jersey Films
21,1710,Copycat,Regency Enterprises
22,9691,Assassins,Silver Pictures
22,9691,Assassins,Dino De Laurentiis Company
23,12665,Powder,Caravan Pictures
24,451,Leaving Las Vegas,United Artists
25,16420,Othello,Columbia Pictures
26,9263,Now and Then,
27,17015,Persuasion,
28,902,The City of Lost Children,Procirep
28,902,The City of Lost Children,Constellation Productions
28,902,The City of Lost Children,France 3 Cinéma
28,902,The City of Lost Children,Claudie Ossard Productions
28,902,The City of Lost Children,Eurimages
28,902,The City of Lost Children,MEDIA Programme of the European Union
28,902,The City of Lost Children,Cofimage 5
28,902,The City of Lost Children,Victoires Productions
28,902,The City of Lost Children,Constellation
28,902,The City of Lost Children,Lumière Pictures
28,902,The City of Lost Children,Studio Image
28,902,The City of Lost Children,Cofimage 4
28,902,The City of Lost Children,Ossane
29,37557,Shanghai Triad,Ministère des Affaires Étrangères
29,37557,Shanghai Triad,Alpha Films
30,9909,Dangerous Minds,Hollywood Pictures
30,9909,Dangerous Minds,Via Rosa Productions
31,63,Twelve Monkeys,Universal Pictures
31,63,Twelve Monkeys,Atlas Entertainment
32,78802,Wings of Courage,
33,9598,Babe,Universal Pictures
34,47018,Carrington,StudioCanal
34,47018,Carrington,Cinéa
34,47018,Carrington,Euston Films
34,47018,Carrington,Freeway Films
34,47018,Carrington,Polygram Filmed Entertainment
35,687,Dead Man Walking,Havoc
35,687,Dead Man Walking,PolyGram Filmed Entertainment
36,139405,Across the Sea of Time,
37,33689,It Takes Two,Dualstar Productions
37,33689,It Takes Two,Rysher Entertainment
38,9603,Clueless,
39,34615,"Cry, the Beloved Country",Miramax
39,34615,"Cry, the Beloved Country",Distant Horizon
40,31174,Richard III,British Screen
41,11443,Dead Presidents,Caravan Pictures
41,11443,Dead Presidents,Underworld Entertainment
42,35196,Restoration,
43,9312,Mortal Kombat,New Line Cinema
44,577,To Die For,The Rank Organisation
45,11861,How To Make An American Quilt,Universal Pictures
46,807,Se7en,New Line Cinema
46,807,Se7en,Juno Pix
47,10530,Pocahontas,Walt Disney Pictures
48,8391,When Night Is Falling,
49,629,The Usual Suspects,Blue Parrot Productions
50,117164,Guardian Angel,
51,11448,Mighty Aphrodite,Miramax Films
52,49133,Lamerica,
53,26441,The Big Green,Walt Disney Pictures
54,97406,Georgia,Miramax Films
55,124057,Kids of the Round Table,Telefilm Canada
56,9089,Home for the Holidays,Paramount Pictures
56,9089,Home for the Holidays,Egg Pictures
57,11010,The Postman,
58,99040,The Confessional,
59,11359,The Indian in the Cupboard,Paramount Pictures
59,11359,The Indian in the Cupboard,Columbia Pictures Corporation
60,17182,Eye for an Eye,
61,2054,Mr. Holland's Opus,Hollywood Pictures
61,2054,Mr. Holland's Opus,The Charlie Mopic Company
61,2054,Mr. Holland's Opus,PolyGram Filmed Entertainment
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Miramax Films
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Island Pictures
63,19760,Two If by Sea,
64,9536,Bio-Dome,3 Arts Entertainment
65,11525,Lawnmower Man 2: Beyond Cyberspace,
66,40628,Two Bits,
67,4482,French Twist,Renn Productions
67,4482,French Twist,Les Films Flam
67,4482,French Twist,TF1 Films Production
68,10634,Friday,
69,755,From Dusk Till Dawn,A Band Apart
69,755,From Dusk Till Dawn,Dimension Films
69,755,From Dusk Till Dawn,Los Hooligans Productions
70,11859,Fair Game,Silver Pictures
71,28387,Kicking and Screaming,Castleberg Productions
72,48750,Les Miserables,Les Films 13
73,20927,Bed of Roses,New Line Cinema
74,36929,Big Bully,
75,9102,Screamers,Allegro Films
75,9102,Screamers,Fries Film Group
75,9102,Screamers,Super Ecran
76,124626,Nico Icon,Ciak Filmproduktion
77,27526,The Crossing Guard,
78,9623,The Juror,
79,46785,The White Balloon,
80,400,Things to Do in Denver When You're Dead,
81,880,Antonia's Line,Bergen Film
81,880,Antonia's Line,Bard Entertainments
82,146599,Once Upon a Time... When We Were Colored,BET Pictures
83,188588,Last Summer in the Hamptons,
84,8447,Angels and Insects,Playhouse International Pictures
85,10534,White Squall,Hollywood Pictures
85,10534,White Squall,Largo Entertainment
86,17414,Dunston Checks In,Twentieth Century Fox Film Corporation
87,13997,Black Sheep,
88,2086,Nick of Time,
89,61548,The Journey of August King,Miramax Films
90,9095,Mary Reilly,TriStar Pictures
91,12158,Vampire in Brooklyn,
92,9283,Beautiful Girls,Miramax Films
93,9208,Broken Arrow,Twentieth Century Fox Film Corporation
93,9208,Broken Arrow,WCG Entertainment Productions
94,40154,A Midwinter's Tale,Castle Rock Entertainment
95,406,La Haine,Egg Pictures
95,406,La Haine,PolyGram Filmed Entertainment
95,406,La Haine,Les Productions Lazennec
95,406,La Haine,La Sept Cinéma
95,406,La Haine,Studio Image
96,45549,Shopping,
97,63076,Heidi Fleiss: Hollywood Madam,Cinemax Reel Life
97,63076,Heidi Fleiss: Hollywood Madam,InPictures
98,11062,City Hall,Columbia Pictures
99,13685,Bottle Rocket,Gracie Films
100,47475,Mr. Wrong,
101,2045,Unforgettable,Dino De Laurentiis Company
102,9614,Happy Gilmore,Universal Pictures
103,688,The Bridges of Madison County,Amblin Entertainment
103,688,The Bridges of Madison County,Malpaso Productions
104,11907,Nobody Loves Me,
105,10874,Muppet Treasure Island,Walt Disney Pictures
105,10874,Muppet Treasure Island,Jim Henson Productions
106,89333,Catwalk,
107,96357,Headless Body in Topless Bar,
