,Adult,Genres,Id,Imdb Id,Keywords,Production Companies,Production Countries,Release Date,Year,Tagline,Title,Budget,Popularity,Runtime,Vote Average,Vote Count,New Key,Worldwide,Domestic,Foreign
1,False,"['Adventure', 'Fantasy', 'Family']",8844,tt0113497,"['giant insect', 'board game', 'jungle', 'disappearance', 'recluse', 'stampede', 'based on young adult novel']","['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],12/15/1995,1995,Roll the dice and unleash the excitement!,Jumanji,65000000,17.015539,104.0,6.9,2413.0,"['board game', 'disappearance', 'new home', 'recluse']",262797249,100475249,162322000
3,False,"['Comedy', 'Drama', 'Romance']",31357,tt0114885,"['based on novel or book', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",['Twentieth Century Fox Film Corporation'],['United States of America'],12/22/1995,1995,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,16000000,3.859495,127.0,6.1,34.0,"['based on novel', 'interracial relationship', 'single mother', 'divorce']",81452156,67052156,14400000
5,False,"['Action', 'Crime', 'Drama', 'Thriller']",949,tt0113277,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'heist movie', 'one last job', 'loner', 'bank job', 'gun fight']","['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],12/15/1995,1995,A Los Angeles Crime Saga,Heat,60000000,17.924927,170.0,7.7,1886.0,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'heist movie', 'one last job', 'loner', 'bank job', 'gun fight']",187436818,67436818,120000000
6,False,"['Comedy', 'Romance']",11860,tt0114319,"['paris, france', 'sibling relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']","['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']","['Germany', 'United States of America']",12/15/1995,1995,You are cordially invited to the most surprising merger of the year.,Sabrina,58000000,6.677277,127.0,6.2,141.0,"['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion']",53696278,53672080,24198
8,False,"['Action', 'Adventure', 'Thriller']",9091,tt0114576,"['terrorist', 'hostage', 'explosive', 'ice hockey', 'vice president', 'pittsburgh, pennsylvania', 'pittsburgh penguins']","['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America'],12/22/1995,1995,Terror goes into overtime.,Sudden Death,35000000,5.23158,106.0,5.5,174.0,"['terrorist', 'hostage', 'explosive']",64350171,20350171,44000000
9,False,"['Adventure', 'Action', 'Thriller']",710,tt0113189,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'ejection seat']","['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",11/16/1995,1995,No limits. No fears. No substitutes.,GoldenEye,58000000,14.686035999999998,130.0,6.6,1194.0,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'ejection seat']",352194034,106429941,245764093
10,False,"['Comedy', 'Drama', 'Romance']",9087,tt0112346,"['the white house', 'u.s. president', 'new love', 'widower', 'wildlife conservation']","['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],11/17/1995,1995,Why can't the most powerful man in the world have the one thing he wants most?,The American President,62000000,6.318445,106.0,6.5,199.0,"['white house', 'usa president', 'new love', 'widower']",107879496,60079496,47800000
13,False,"['History', 'Drama']",10858,tt0113987,"['washington d.c.', 'u.s. president', '1970s', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure', 'richard nixon', '1960s', 'j edgar hoover']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],12/22/1995,1995,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,44000000,5.092,192.0,7.1,72.0,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government']",13681765,13681765,
14,False,"['Action', 'Adventure']",1408,tt0112760,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Laurence Mark Productions', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']",12/22/1995,1995,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,98000000,7.284477000000001,119.0,5.7,137.0,"['exotic island', 'treasure', 'map', 'ship', 'scalp']",10017322,10017322,
15,False,"['Drama', 'Crime']",524,tt0112641,"['poker', 'gambling', 'casino', 'drug abuse', '1970s', 'fbi', 'overdose', 'greed', 'rise and fall', 'car bomb', 'alcoholism', 'organized crime', 'mafia', 'money', 'las vegas', 'desert', 'illegal prostitution', '1980s', 'brutal violence']","['Universal Pictures', 'Légende Entreprises', 'Syalis DA']","['France', 'United States of America']",11/22/1995,1995,No one stays at the top forever.,Casino,52000000,10.137389,178.0,7.8,1343.0,"['poker', 'drug abuse', '1970s', 'overdose']",116112375,42512375,73600000
