,Id (Keywords.Csv),Imdb Id,Release Date,Start Year,Title,Budget,Revenue,Runtime,Vote Average,Vote Count,New Key
0,862,tt0114709,10/30/1995,1995,Toy Story,30000000,373554033.0,81.0,7.7,5415.0,"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']"
1,8844,tt0113497,12/15/1995,1995,Jumanji,65000000,262797249.0,104.0,6.9,2413.0,"['board game', 'disappearance', ""{'id': 15101"", ' \'name\': ""based on children\'s book""}', ' new home', 'recluse', 'giant insect']"
2,15602,tt0113228,12/22/1995,1995,Grumpier Old Men,0,0.0,101.0,6.5,92.0,"['fishing', 'best friend', 'duringcreditsstinger', 'old men']"
3,31357,tt0114885,12/22/1995,1995,Waiting to Exhale,16000000,81452156.0,127.0,6.1,34.0,"['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']"
4,11862,tt0113041,2/10/1995,1995,Father of the Bride Part II,0,76578911.0,106.0,5.7,173.0,"['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']"
5,949,tt0113277,12/15/1995,1995,Heat,60000000,187436818.0,170.0,7.7,1886.0,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']"
6,11860,tt0114319,12/15/1995,1995,Sabrina,58000000,0.0,127.0,6.2,141.0,"['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']"
7,45325,tt0112302,12/22/1995,1995,Tom and Huck,0,0.0,97.0,5.4,45.0,[']']
8,9091,tt0114576,12/22/1995,1995,Sudden Death,35000000,64350171.0,106.0,5.5,174.0,"['terrorist', 'hostage', 'explosive', 'vice president']"
9,710,tt0113189,11/16/1995,1995,GoldenEye,58000000,352194034.0,130.0,6.6,1194.0,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']"
10,9087,tt0112346,11/17/1995,1995,The American President,62000000,107879496.0,106.0,6.5,199.0,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']"
11,12110,tt0112896,12/22/1995,1995,Dracula: Dead and Loving It,0,0.0,88.0,5.7,210.0,"['dracula', 'spoof']"
12,21032,tt0112453,12/22/1995,1995,Balto,0,11348324.0,78.0,7.1,423.0,"['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']"
13,10858,tt0113987,12/22/1995,1995,Nixon,44000000,13681765.0,192.0,7.1,72.0,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']"
14,1408,tt0112760,12/22/1995,1995,Cutthroat Island,98000000,10017322.0,119.0,5.7,137.0,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']"
